date,open,high,low,close,diff,sma10,vol,it,de,fi,wma10,CCI14,RSI 9,k_value,d_value,R
2008/12/1,205,206.5,197,200,-6.5,213.4,3600,-1031,-39,-1078,209.79,-43.78,27.35 ,22.99 ,20.27 ,-93.86 
2008/12/2,186,189,186,186,-14,208.2,2864,-755,-36,-672,204.8,-51.11,23.46 ,15.33 ,18.62 ,-100.00 
2008/12/3,186,186,173,173,-13,203.3,3539,-661,-326,-1103,198.4,-53.99,20.43 ,10.22 ,15.82 ,-100.00 
2008/12/4,170,179,170,173.5,0.5,200,4384,-55,7,-208,192.99,-48.36,20.87 ,8.93 ,13.53 ,-96.09 
2008/12/5,173.5,175,167,167,-6.5,194.95,2740,-104,86,-13,186.99,-47.08,19.30 ,5.96 ,11.00 ,-100.00 
2008/12/8,170,178.5,170,178.5,11.5,192.55,4148,9,15,306,184,-34.45,29.81 ,10.58 ,10.86 ,-81.75 
2008/12/9,182.5,187,178,178.5,0,189.8,5206,213,36,212,181.44,-23.68,29.81 ,13.66 ,11.79 ,-80.17 
2008/12/10,180,190.5,180,190.5,12,186.85,4491,179,13,854,181.57,-13.26,40.12 ,25.43 ,16.34 ,-59.48 
2008/12/11,196.5,203.5,196.5,203.5,13,185.7,3794,0,48,39,184.6,16.52,49.20 ,47.75 ,26.81 ,-37.07 
2008/12/12,204,212,196.5,202.5,-1,185.3,9471,2462,-4,2711,187.65,25.18,48.57 ,58.13 ,37.25 ,-38.79 
2008/12/15,216.5,216.5,212,216.5,14,186.95,4266,612,-8,800,193.32,55.63,57.29 ,72.09 ,48.86 ,-14.66 
2008/12/16,217,218,211,218,1.5,190.15,2758,39,-17,-71,198.97,59.88,58.14 ,81.39 ,59.71 ,-12.07 
2008/12/17,223,226,206,208,-10,193.65,4579,347,-116,464,202.21,55.65,50.55 ,77.43 ,65.61 ,-30.51 
2008/12/18,208,215,202.5,215,7,197.8,2734,21,30,207,206.1,50.15,55.16 ,78.40 ,69.88 ,-18.64 
2008/12/19,215,221,212,219,4,203,4469,-670,-46,622,209.95,67.57,57.70 ,80.74 ,73.50 ,-11.86 
2008/12/22,222,223.5,216.5,217,-2,206.85,2319,-84,-14,465,212.5,69.03,55.92 ,80.64 ,75.88 ,-15.25 
2008/12/23,217,217,202,205,-12,209.5,2331,-475,-22,-485,212.16,30.39,46.28 ,63.36 ,71.71 ,-35.59 
2008/12/24,197,211,196,208,3,211.25,2361,-182,-2,302,211.89,13.64,48.77 ,55.58 ,66.33 ,-30.51 
2008/12/25,208,208.5,194,200,-8,210.9,2479,-1294,-54,-1396,209.84,-13.88,42.83 ,43.30 ,58.65 ,-46.43 
